country_region,country_code,population_2020
Afghanistan,4,  38 928
Albania,8,  2 878
Algeria,12,  43 851
American Samoa,16,   55
Andorra,20,   77
Angola,24,  32 866
Anguilla,660,   15
Antigua and Barbuda,28,   98
Argentina,32,  45 196
Armenia,51,  2 963
Aruba,533,   107
Australia,36,  25 500
Austria,40,  9 006
Azerbaijan,31,  10 139
Bahamas,44,   393
Bahrain,48,  1 702
Bangladesh,50,  164 689
Barbados,52,   287
Belarus,112,  9 449
Belgium,56,  11 590
Belize,84,   398
Benin,204,  12 123
Bermuda,60,   62
Bhutan,64,   772
Bolivia,68,  11 673
"Bonaire, Sint Eustatius and Saba",535,   26
Bosnia and Herzegovina,70,  3 281
Botswana,72,  2 352
Brazil,76,  212 559
British Virgin Islands,92,   30
Brunei Darussalam,96,   437
Bulgaria,100,  6 948
Burkina Faso,854,  20 903
Burundi,108,  11 891
Cabo Verde,132,   556
Cambodia,116,  16 719
Cameroon,120,  26 546
Canada,124,  37 742
Cayman Islands,136,   66
Central African Republic,140,  4 830
Chad,148,  16 426
Channel Islands,830,   174
Chile,152,  19 116
China,156, 1 439 324
Hong Kong,344,  7 497
Macao,446,   649
Taiwan,158,  23 817
Colombia,170,  50 883
Comoros,174,   870
Congo,178,  5 518
Cook Islands,184,   18
Costa Rica,188,  5 094
Cote d'Ivoire,384,  26 378
Croatia,191,  4 105
Cuba,192,  11 327
Curaçao,531,   164
Cyprus,196,  1 207
Czechia,203,  10 709
North Korea,408,  25 779
"Congo, Dem. Rep.",180,  89 561
Denmark,208,  5 792
Djibouti,262,   988
Dominica,212,   72
Dominican Republic,214,  10 848
Ecuador,218,  17 643
Egypt,818,  102 334
El Salvador,222,  6 486
Equatorial Guinea,226,  1 403
Eritrea,232,  3 546
Estonia,233,  1 327
Eswatini,748,  1 160
Ethiopia,231,  114 964
Falkland Islands,238,   3
Faroe Islands,234,   49
Fiji,242,   896
Finland,246,  5 541
France,250,  65 274
French Guiana,254,   299
French Polynesia,258,   281
Gabon,266,  2 226
Gambia,270,  2 417
Georgia,268,  3 989
Germany,276,  83 784
Ghana,288,  31 073
Gibraltar,292,   34
Greece,300,  10 423
Greenland,304,   57
Grenada,308,   113
Guadeloupe,312,   400
Guam,316,   169
Guatemala,320,  17 916
Guinea,324,  13 133
Guinea-Bissau,624,  1 968
Guyana,328,   787
Haiti,332,  11 403
Holy See,336,   1
Honduras,340,  9 905
Hungary,348,  9 660
Iceland,352,   341
India,356, 1 380 004
Indonesia,360,  273 524
Iran,364,  83 993
Iraq,368,  40 223
Ireland,372,  4 938
Isle of Man,833,   85
Israel,376,  8 656
Italy,380,  60 462
Jamaica,388,  2 961
Japan,392,  126 476
Jordan,400,  10 203
Kazakhstan,398,  18 777
Kenya,404,  53 771
Kiribati,296,   119
Kuwait,414,  4 271
Kyrgyzstan,417,  6 524
Laos,418,  7 276
Latvia,428,  1 886
Lebanon,422,  6 825
Lesotho,426,  2 142
Liberia,430,  5 058
Libya,434,  6 871
Liechtenstein,438,   38
Lithuania,440,  2 722
Luxembourg,442,   626
Madagascar,450,  27 691
Malawi,454,  19 130
Malaysia,458,  32 366
Maldives,462,   541
Mali,466,  20 251
Malta,470,   442
Marshall Islands,584,   59
Martinique,474,   375
